x1,y1,x2,y2,collection,name,bc_type,bc_x_s,bc_y_n
-183.0,-0.23,-178.46,-0.153,topo,0,t_local,0.0,0.0
-178.46,-0.153,-173.921,-0.076,topo,1,t_local,0.0,0.0
-173.921,-0.076,-169.382,-0.0,topo,2,t_local,0.0,0.0
-169.382,-0.0,-165.678,0.23,topo,0,t_local,0.0,0.0
-165.678,0.23,-161.975,0.461,topo,1,t_local,0.0,0.0
-161.975,0.461,-159.506,0.576,topo,2,t_local,0.0,0.0
-159.506,0.576,-158.641,0.692,topo,3,t_local,0.0,0.0
-158.641,0.692,-155.679,0.23,topo,4,t_local,0.0,0.0
-155.679,0.23,-151.728,0.23,topo,5,t_local,0.0,0.0
-151.728,0.23,-150.123,0.115,topo,6,t_local,0.0,0.0
-150.123,0.115,-147.777,0.576,topo,7,t_local,0.0,0.0
-147.777,0.576,-146.79,0.576,topo,8,t_local,0.0,0.0
-146.79,0.576,-145.185,0.692,topo,9,t_local,0.0,0.0
-145.185,0.692,-143.95,1.153,topo,10,t_local,0.0,0.0
-143.95,1.153,-142.222,1.153,topo,11,t_local,0.0,0.0
-142.222,1.153,-140.864,0.576,topo,12,t_local,0.0,0.0
-140.864,0.576,-138.395,0.923,topo,13,t_local,0.0,0.0
-138.395,0.923,-136.913,1.384,topo,14,t_local,0.0,0.0
-136.913,1.384,-134.938,1.846,topo,15,t_local,0.0,0.0
-134.938,1.846,-133.95,1.961,topo,16,t_local,0.0,0.0
-133.95,1.961,-129.506,1.846,topo,17,t_local,0.0,0.0
-129.506,1.846,-128.518,2.076,topo,18,t_local,0.0,0.0
-128.518,2.076,-124.938,0.923,topo,19,t_local,0.0,0.0
-124.938,0.923,-123.95,1.038,topo,20,t_local,0.0,0.0
-123.95,1.038,-123.086,1.153,topo,21,t_local,0.0,0.0
-123.086,1.153,-121.604,0.923,topo,22,t_local,0.0,0.0
-121.604,0.923,-120.0,0.576,topo,23,t_local,0.0,0.0
-120.0,0.576,-118.518,1.038,topo,24,t_local,0.0,0.0
-118.518,1.038,-116.79,0.923,topo,25,t_local,0.0,0.0
-116.79,0.923,-115.308,0.923,topo,26,t_local,0.0,0.0
-115.308,0.923,-113.58,1.5,topo,27,t_local,0.0,0.0
-113.58,1.5,-112.098,1.5,topo,28,t_local,0.0,0.0
-112.098,1.5,-110.617,1.038,topo,29,t_local,0.0,0.0
